URL,Title
https://www.moneycontrol.com/news/business/markets/tata-steel-shares-rise-5-as-jpmorgan-sees-500-mn-euro-savings-amid-transformation-of-netherlands-ops-12991836.html,Tata Steel shares rise 5% as JPMorgan sees 500 mn euro savings amid transformation of Netherlands ops
https://www.moneycontrol.com/news/business/stocks/buy-tata-steel-target-of-rs-180-icici-securities-12991618.html,Buy Tata Steel; target of Rs 180: ICICI Securities
https://www.moneycontrol.com/news/business/markets/stocks-to-watch-today-tcs-biocon-gail-greaves-cotton-sun-pharma-dishman-carbogen-amcis-coromandel-international-in-focus-on-11-april-12991380.html,"Stocks to Watch Today: TCS, Biocon, GAIL, Greaves Cotton, Sun Pharma, Dishman Carbogen Amcis, Coromandel International in focus on 11 April"
https://www.moneycontrol.com/news/business/stocks/neutral-tata-steel-target-of-rs-140-motilal-oswal-2-12990868.html,Neutral Tata Steel; target of Rs 140: Motilal Oswal
https://www.moneycontrol.com/news/business/markets/tata-steel-s-nederland-subsidiary-to-cut-1-600-jobs-as-part-of-major-restructuring-push-12989880.html,"Tata Steel to transform operations in Netherlands, 1,600 jobs to disappear"
https://www.moneycontrol.com/news/business/markets/tata-steel-hits-lower-circuit-metal-index-down-7-as-trump-tariff-rattles-dalal-street-12986674.html,"Tata Steel tumbles 7%, Metal index down 7% as Trump tariff rattles Dalal Street"
https://www.moneycontrol.com/news/business/markets/stocks-to-watch-today-tata-steel-yes-bank-godrej-properties-astrazeneca-pharma-indusind-bank-nykaa-bajaj-housing-finance-in-focus-on-7-april-12986485.html,"Stocks to Watch Today: Tata Steel, Yes Bank, Godrej Properties, AstraZeneca Pharma, IndusInd Bank, Nykaa, Bajaj Housing Finance in focus on 7 April"
https://www.moneycontrol.com/news/business/markets/stocks-to-watch-today-csb-bank-siemens-zaggle-prepaid-coal-india-hyundai-motor-nmdc-moil-hindustan-copper-in-focus-on-2-april-12982075.html,"Stocks to Watch Today: CSB Bank, Siemens, Zaggle Prepaid, Coal India, Hyundai Motor, NMDC, MOIL, Hindustan Copper in focus on 2 April"
https://www.moneycontrol.com/news/business/markets/chartist-talks-in-april-icici-securities-dharmesh-shah-sees-nifty-at-24-200-bets-on-these-3-stock-ideas-12980097.html,"Chartist Talks: In April, ICICI Securities' Dharmesh Shah sees Nifty at 24,200, bets on these 3 stock ideas"
https://www.moneycontrol.com/news/business/tata-steel-says-nine-individuals-injured-due-to-accident-at-kalinanagar-steel-plant-flags-no-impact-to-production-12972074.html,"Tata steel says nine individuals injured due to accident at Kalinanagar steel plant, flags no impact to production"
